IncidentDate,State,CityOrCounty,Address,Killed,Injured,Operations
14-Nov-16,Louisiana,Lafayette,2000 block of Moss Street,0,1,N/A
14-Nov-16,Kansas,Wichita,3832 East Harry Street,1,0,N/A
14-Nov-16,Louisiana,Leesville,1020 Fertitta Boulevard,0,0,N/A
14-Nov-16,Indiana,Indianapolis,East Michigan Street and Pine Street,0,1,N/A
14-Nov-16,Texas,Houston,9500 Hempstead Road,2,0,N/A
14-Nov-16,Indiana,Indianapolis,East Washington Street and North Harbison Avenue,0,1,N/A
14-Nov-16,North Carolina,Shelby,Christopher Road,1,0,N/A
14-Nov-16,Missouri,Kansas City,37th Street and Prospect Avenue,0,1,N/A
14-Nov-16,Louisiana,Baton Rouge,4412 Gus Young Avenue,0,1,N/A
14-Nov-16,Louisiana,Baton Rouge,4941 Byron Ave,0,1,N/A
14-Nov-16,Louisiana,Baton Rouge,3200 block of Brady Street,0,1,N/A
14-Nov-16,Illinois,Joliet,200 block of North Hickory Street,0,3,N/A
14-Nov-16,Illinois,Rockford,2300 block of Pershing Avenue,0,0,N/A
14-Nov-16,Massachusetts,Springfield,Union St and Hancock St,0,0,N/A
14-Nov-16,Illinois,Rockford,2300 block of Overdene Avenue,0,0,N/A
14-Nov-16,Kentucky,Lexington,1111 Centre Pkwy,0,0,N/A
14-Nov-16,Missouri,Springfield,315 N Park Avenue,2,0,N/A
14-Nov-16,Massachusetts,Boston,482 Washington St,0,1,N/A
14-Nov-16,Illinois,Springfield,400 block of South Paul Street,0,1,N/A
14-Nov-16,Michigan,Detroit,N/A,0,0,N/A
14-Nov-16,Florida,Estero,17300 Corkscrew Road,1,0,N/A
14-Nov-16,Kentucky,Daviess (county),Hall School Road,1,0,N/A
14-Nov-16,Michigan,Flint,Grayson Drive,0,1,N/A
14-Nov-16,Virginia,Norfolk,2700 block of Granby Street,1,0,N/A
14-Nov-16,Virginia,Richmond,4700 block of Walmsley Boulevard,0,1,N/A
14-Nov-16,Virginia,Richmond,N. 31st Street and T Street,0,2,N/A
14-Nov-16,Pennsylvania,Philadelphia,2908 S Christopher Columbus Blvd,0,1,N/A
14-Nov-16,Wisconsin,Milwaukee,2000 block S. 13th St,0,1,N/A
14-Nov-16,Illinois,Chicago (Roseland),9700 block of South Lafayette,1,0,N/A
14-Nov-16,Illinois,Chicago,2500 block of West 47th Street,1,0,N/A
14-Nov-16,Louisiana,Shreveport,4100 block of Ester Street,0,1,N/A
14-Nov-16,Arkansas,Little Rock,West Markham Street and South Shackleford Road,0,0,N/A
14-Nov-16,Tennessee,Nashville,7135 Centennial Place,1,0,N/A
14-Nov-16,Texas,Beaumont,4600 Block of Maddox Street,0,0,N/A
14-Nov-16,Texas,Corpus Christi,Weber and Caravelle Parkway,0,1,N/A
14-Nov-16,Ohio,Dayton,500 block of Ruth Avenue,0,1,N/A
13-Nov-16,Washington,Seattle (Capitol Hill),12th Avenue and East Olive Street,0,1,N/A
13-Nov-16,Connecticut,Bridgeport,Howard Avenue,0,1,N/A
13-Nov-16,Florida,Jacksonville,6300 block of Tintern Circle West,0,2,N/A
13-Nov-16,Ohio,Toledo,Bancroft Street and Cherry Street,1,0,N/A
13-Nov-16,New York,Brooklyn,90 Manhattan Ave,0,3,N/A
13-Nov-16,Indiana,Indianapolis,1606 E. 44th Street,0,2,N/A
13-Nov-16,New York,Bellmore (North Bellmore),2046 North Jerusalem Road,0,0,N/A
13-Nov-16,Tennessee,Knoxville,Jourolman Avenue,1,0,N/A
13-Nov-16,Nebraska,Omaha,27th and Vane,0,1,N/A
13-Nov-16,North Carolina,Greensboro,2209 E. Bessemer Ave.,0,1,N/A
13-Nov-16,Indiana,Fort Wayne,719 Walnut Street,1,0,N/A
13-Nov-16,Indiana,Indianapolis,3720 North Meridian Street,0,0,N/A
13-Nov-16,North Carolina,Charlotte,8000 block of Sherington Way,0,1,N/A
13-Nov-16,Illinois,Milford,107 E. Jones St.,1,0,N/A
13-Nov-16,Illinois,Rockford,Reid Farm and Villagreen,0,0,N/A
13-Nov-16,Louisiana,Lafayette,Willow Street and N. Pierce Street,0,1,N/A
13-Nov-16,California,Hughson,1220 Geer Rd,1,0,N/A
13-Nov-16,Kentucky,Louisville,800 block of Midway Avenue,0,1,N/A
13-Nov-16,Michigan,Ypsilanti,212 Stevens Drive,1,0,N/A
13-Nov-16,New Jersey,Jersey City,Merritt Street,0,2,N/A
13-Nov-16,Maryland,Baltimore,4200 block of Potter Street,0,1,N/A
13-Nov-16,District of Columbia,Washington,1700 block of Benning Road NE,0,1,N/A
13-Nov-16,District of Columbia,Washington,900 Blk of Wahler Pl. SE,0,1,N/A
13-Nov-16,Michigan,Detroit,Cornwall and Yorkshire,0,1,N/A
13-Nov-16,California,Sacramento,2300 block of 51st Avenue,1,0,N/A
13-Nov-16,Michigan,Ypsilanti,Stevens Drive,1,0,N/A
13-Nov-16,California,Oakland,10000 block of MacArthur Boulevard,1,0,N/A
13-Nov-16,Vermont,Vershire,Reed Rd,0,1,N/A
13-Nov-16,California,San Diego,3800 block of Marlborough Avenue,2,3,N/A
13-Nov-16,Florida,Jacksonville,5105 Cleveland Rd,3,2,N/A
13-Nov-16,Alabama,Oxford,Smith Street,1,0,N/A
13-Nov-16,Michigan,Tawas City,800 block of Fir Street,1,1,N/A
13-Nov-16,Florida,Pensacola,North R Street,0,0,N/A
13-Nov-16,Florida,Fort Myers,Summerlin Road and Red Cedar Drive,0,0,N/A
13-Nov-16,Florida,Jacksonville,5675 Barnhill Drive,0,1,N/A
13-Nov-16,Indiana,Vevay,Ashland Cove Road,0,1,N/A
13-Nov-16,Florida,Fort Myers,15235 S. Tamiami Trail,2,0,N/A
13-Nov-16,Virginia,Chesapeake,1900 block of Candlelight Drive,0,1,N/A
13-Nov-16,Indiana,Indianapolis,5150 West 38th Street,0,1,N/A
13-Nov-16,Nevada,Las Vegas,5300 block of Ridge Drive,1,0,N/A
13-Nov-16,Virginia,Richmond,1400 block of Ivymount Road,1,0,N/A
13-Nov-16,Virginia,Richmond,1300 block of Coalter Street,0,1,N/A
13-Nov-16,Maryland,Glen Burnie,Route 295 northbound at Route 195,0,1,N/A
13-Nov-16,Pennsylvania,Harrisburg,100 Hall Manor Pl,0,1,N/A
13-Nov-16,Virginia,Hampton,I-64 East,0,3,N/A
13-Nov-16,Ohio,Cleveland,2182 E. 80th St,1,0,N/A
13-Nov-16,Virginia,Virginia Beach,1949 Lynnhaven Parkway,0,1,N/A
13-Nov-16,Virginia,Richmond,3600 block of North Avenue,0,1,N/A
13-Nov-16,Virginia,Richmond,1900 block of Mechanicsville Turnpike,0,1,N/A
13-Nov-16,Virginia,Richmond,2800 block of Fairfield Avenue,0,1,N/A
