"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 26, 2016",Indiana,"East Chicago","3400 block of Grand Boulevard",0,1,N/A
"November 2, 2016",Louisiana,"New Orleans","2400 block of St. Roch Avenue",0,1,N/A
"November 2, 2016",Texas,"San Antonio","2400 block of Potosi Street",0,2,N/A
"November 2, 2016",Louisiana,"New Orleans","St. Bernard Avenue  and North Claiborne Avenue",0,1,N/A
"November 2, 2016",Louisiana,Shreveport,"4100 block of Pines Road",0,1,N/A
"November 2, 2016",Iowa,"Des Moines","Merle Hay & Sheridan",2,0,N/A
"November 1, 2016",Washington,Lakewood,"10600 Block of Douglas Drive SW",0,1,N/A
"November 1, 2016",Vermont,Bennington,"South Branch Street",0,0,N/A
"November 1, 2016",Ohio,Columbus,"4600 block of Lakehurst Court",0,1,N/A
"November 1, 2016",Tennessee,Centerville,"1 Pine Tree Village",0,0,N/A
"November 1, 2016",Pennsylvania,Pottstown,"47 King Street",0,1,N/A
"November 1, 2016",Indiana,"Indianapolis (Lawrence)","7013 E 56th St",0,1,N/A
"November 1, 2016",Ohio,Columbus,"5600 block of Beechcroft Road",0,1,N/A
"November 1, 2016",Texas,"San Antonio","6600 block of Monterey Street",1,0,N/A
"November 1, 2016",Pennsylvania,Philadelphia,"3100 South Front Street",0,0,N/A
"November 1, 2016",Texas,"San Antonio","6600 block of Monterey Street",0,1,N/A
"November 1, 2016",Oklahoma,Enid,"1501 S 2nd",1,0,N/A
"November 1, 2016",Alabama,Birmingham,"7000 block of 4th Avenue South",1,0,N/A
"November 1, 2016",Virginia,Norfolk,"W. Ocean View Avenue",0,1,N/A
"November 1, 2016","North Carolina",Charlotte,"Mallard Creek Church Road",0,0,N/A
"November 1, 2016","New York",Buffalo,"1000 Block of Lovejoy",0,2,N/A
"November 1, 2016",Tennessee,Nashville,"401 Walton Ln",0,0,N/A
"November 1, 2016",Nebraska,Omaha,"5529 S 30th Street",1,0,N/A
"November 1, 2016","New York",Brooklyn,"1109 Manhattan Avenue",0,1,N/A
"November 1, 2016",Pennsylvania,Allentown,"1st block of North 16th Street",0,0,N/A
"November 1, 2016",Ohio,"Cincinnati (Bond Hill)","Dawn Road and Reading",0,1,N/A
"November 1, 2016",Nevada,"Carson City","505 South Roop Street",1,0,N/A
"November 1, 2016",Florida,Pensacola,"200 block of Ariola Avenue",0,1,N/A
"November 1, 2016",Colorado,"Canon City","Sherman Avenue and Grand Avenue",0,1,N/A
"November 1, 2016",Florida,Jacksonville,"2900 block of West 12th Street",0,1,N/A
"November 1, 2016",Florida,"Palm Bay","Palm Bay Road and Bass Pro Drive",0,1,N/A
"November 1, 2016",Texas,Marshall,"400 block of Spruce Street",0,0,N/A
"November 1, 2016",Ohio,Cleveland,"3266 W 117th St",0,1,N/A
"November 1, 2016",Florida,Jacksonville,"2900 Justina Road",0,0,N/A
"November 1, 2016",Florida,Jacksonville,"8400 118th Street",0,0,N/A
"November 1, 2016",Florida,Jacksonville,"1700 Lansdowne Drive",0,0,N/A
"November 1, 2016",Florida,Jacksonville,"1700 Hodges Road",0,0,N/A
"November 1, 2016",Florida,Jacksonville,"6400 Buffalo Avenue",0,0,N/A
"November 1, 2016",Florida,Jacksonville,"1900 North Edgewood Avenue",0,0,N/A
"November 1, 2016",Illinois,"Chicago (Englewood)","1800 block of West 58th Street",0,2,N/A
"November 1, 2016","South Carolina",Greenville,"Railroad and Center Streets",0,1,N/A
"November 1, 2016",Florida,"Fort Lauderdale (Oakland Park)","345 Northeast 56th Street",0,0,N/A
"November 1, 2016",Florida,Kissimmee,N/A,0,1,N/A
"November 1, 2016",Illinois,"Chicago (Roseland)","600 block of West 107th Street",0,1,N/A
"November 1, 2016",Illinois,Chicago,"8600 block of South Morgan",0,2,N/A
"November 1, 2016",Mississippi,Jackson,"4540 Manhattan Rd.",0,0,N/A
"November 1, 2016",Illinois,Chicago,"4500 block of South Wood Street",0,1,N/A
"November 1, 2016",Illinois,Chicago,"600 block of North Ridgeway Avenue",1,0,N/A
"November 1, 2016",Illinois,Chicago,"7100 block of South State Street",0,1,N/A
"November 1, 2016","North Carolina",Charlotte,"Sirus Lane",0,1,N/A
"November 1, 2016",Michigan,Detroit,"Cambridge and Steel",0,0,N/A
"November 1, 2016","District of Columbia",Washington,"1900 block of 14th Street",0,1,N/A
"November 1, 2016","New Jersey",Trenton,"100 block of Hudson Street",0,0,N/A
"November 1, 2016",Massachusetts,Springfield,"Boland Way",0,1,N/A
"November 1, 2016",Louisiana,"New Orleans","Marigny and Burgundy",0,0,N/A
"November 1, 2016",California,Sacramento,"Highway 99 and Mack Road",0,1,N/A
"November 1, 2016",Virginia,Chesterfield,"2900 block of Galena Avenue",1,0,N/A
"November 1, 2016",California,"Long Beach","600 block of East 9th Street",1,0,N/A
"November 1, 2016",California,Bakersfield,"Del Mar Drive",1,0,N/A
"November 1, 2016",Ohio,Youngstown,"730 E Avondale Ave",0,0,N/A
"November 1, 2016",California,Fresno,"Van Ness and Shields",0,1,N/A
"November 1, 2016",Illinois,Urbana,"200 block of South Grove Street",0,2,N/A
"November 1, 2016",Illinois,"Chicago (Roseland)","11100 block of South Michigan Avenue",1,1,N/A
"November 1, 2016",Tennessee,Nashville,"31st Avenue North and Alameda Street",0,0,N/A
"November 1, 2016",Texas,Spring,"3100 block of Flaming Candle Drive",1,1,N/A
"November 1, 2016",Florida,Tampa,"3200 block of East Deleuil Avenue",0,2,N/A
"November 1, 2016",Iowa,"Cedar Rapids","Coe Road NE",0,1,N/A
"November 1, 2016",Iowa,"Des Moines","Merle Hay and Aurora Avenue",0,2,N/A
"November 1, 2016","North Carolina",Durham,"400 block of Pilot Street",1,0,N/A
"November 1, 2016",Maryland,"Hyattsville (Lewisdale)","6700 block of 20th Avenue",1,0,N/A
"November 1, 2016",Michigan,Lansing,"4030 Hartford Road",0,1,N/A
"November 1, 2016","District of Columbia",Washington,"700 block of Fairmont Street NW",0,2,N/A
"November 1, 2016",Michigan,"Grand Rapids","Leonard Street Northwest and Turner Avenue",0,2,N/A
"November 1, 2016",Texas,"Corpus Christi","Deer Creek",0,0,N/A
"November 1, 2016",Texas,"San Antonio","Oakdale and Pin Oak Drive",0,0,N/A
"November 1, 2016",Ohio,Springfield,"400 block of West High Street",0,2,N/A
"November 1, 2016",Pennsylvania,"Trout Run","T847 and Lake Road",2,0,N/A
"November 1, 2016",Pennsylvania,"Mcadoo (McAdoo)","34 James Street",0,0,N/A
"November 1, 2016",Connecticut,"New Haven",N/A,0,1,N/A
"November 1, 2016",Ohio,Springfield,"400 block of West High Street",0,1,N/A
"November 1, 2016",Ohio,Springfield,"100 block of Race Street",0,1,N/A
"November 1, 2016",California,Pomona,"1700 block of North Garey Avenue",0,0,N/A
"November 1, 2016",Missouri,"Saint Louis","4100 block of Taft",2,0,N/A
"November 1, 2016","District of Columbia",Washington,"1565 Morris Road SE",0,0,N/A
"November 1, 2016",Tennessee,Memphis,"5200 block of Zodiac Rd",1,5,N/A
"November 1, 2016",Washington,Amboy,"12000 block of Northeast Grantham Road",0,1,N/A
"November 1, 2016",Wisconsin,"New London","Shawano Street",0,0,N/A
"October 31, 2016",Pennsylvania,York,"Highland Avenue and Monroe Street",0,0,N/A
"October 31, 2016",Oklahoma,"Oklahoma City","3700 block of NW 29",0,2,N/A
"October 31, 2016",Kentucky,Louisville,"2800 block of West Market Street",1,0,N/A
"October 31, 2016",Florida,"Pompano Beach","440 South Cypress Road",1,0,N/A
"October 31, 2016",Texas,Amarillo,"3100 block of Oak Drive",1,0,N/A
"October 31, 2016",Kentucky,Louisville,"24th Street and Elliott Avenue",1,0,N/A
"October 31, 2016","North Carolina",Durham,"2128 Angier Avenue",0,2,N/A
"October 31, 2016",California,Fresno,"Clinton and Winery Avenues",1,0,N/A
"October 31, 2016",Pennsylvania,Washington,I-70,0,0,N/A
"October 31, 2016","North Dakota",Fargo,"1900 Block of Sixth St South",0,0,N/A
"October 31, 2016",Indiana,Indianapolis,"4300 block of Shadeland Avenue",0,0,N/A
"October 31, 2016","North Carolina",Monroe,"South Johnson Street",0,1,N/A
"October 31, 2016",Ohio,Columbus,"Kimball Place and Gault Street",0,1,N/A
"October 31, 2016",Ohio,Brookville,"926 Arlington Road",1,1,N/A
"October 31, 2016",Nevada,"Las Vegas","1807 West Craig Road",0,0,N/A
"October 31, 2016",Ohio,Columbus,"1500 block of Elaine Road",0,1,N/A
"October 31, 2016",Ohio,Dayton,"Adams and Bonner",0,1,N/A
"October 31, 2016",Ohio,Columbus,"1200 block of East Hudson Street",0,1,N/A
"October 31, 2016","North Carolina","Rocky Mount","4600 block of Primrose Place",1,1,N/A
"October 31, 2016",Ohio,Columbus,"4653 Refugee Rd",1,0,N/A
"October 31, 2016","New Mexico",Albuquerque,"Central Avenue and Pennsylvania Street",0,0,N/A
"October 31, 2016",Ohio,Springfield,"3300 block of Columbus Avenue",0,0,N/A
"October 31, 2016",Tennessee,Madison,"146 Archwood Place",0,1,N/A
"October 31, 2016","New Jersey",Newark,"Hillside Avenue and West Bigelow Street",0,0,N/A
"October 31, 2016","New York","New York (Manhattan)","Amsterdam Avenue and West 133rd Street",0,1,N/A
"October 31, 2016","New York",Newburgh,"65 William Street",0,0,N/A
