"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"November 4, 2016",Michigan,"Paradise Township","Sparling Road",0,1,N/A
"November 4, 2016",California,"Palm Springs","366 South Palm Canyon Drive",0,1,N/A
"November 4, 2016",California,Venice,"Ocean Front Walk and Rose Avenue",0,1,N/A
"November 4, 2016",Missouri,Arnold,"2139 Plaza Drive",0,2,N/A
"November 4, 2016",Missouri,"Saint Louis","4200 block of Springdale",1,0,N/A
"November 4, 2016",Nevada,"Las Vegas","Bourbon Way and Scholl Drive",0,1,N/A
"November 4, 2016",Nevada,"Las Vegas","2500 block of Van Patten",0,1,N/A
"November 4, 2016",Illinois,Chicago,"I290 Eastbound",0,1,N/A
"November 4, 2016",Texas,Lubbock,"2200 block of 2nd Place",0,1,N/A
"November 4, 2016",Michigan,Detroit,"200 Block of Alcoy Street",0,1,N/A
"November 4, 2016",California,Fresno,"East Church and South Gearhart Avenues",0,1,N/A
"November 4, 2016",Louisiana,Shreveport,"9550 Mansfield Road",0,1,N/A
"November 4, 2016",Ohio,Cleveland,"2501 E 40th Street",1,1,N/A
"November 4, 2016",Pennsylvania,Chester,"600 block of Central Avenue",0,2,N/A
"November 4, 2016",Tennessee,Knoxville,"6500 block of Archer Road",1,0,N/A
"November 4, 2016",Indiana,Indianapolis,"2900 block of Boulevard Place",0,0,N/A
"November 4, 2016",Indiana,Indianapolis,"38th St. and Emerson Ave.",0,1,N/A
"November 4, 2016",Indiana,"Fort Wayne","2404 Lillie Street",0,0,N/A
"November 4, 2016",Florida,Okeechobee,"1009 Northeast Fifth Street",0,1,N/A
"November 4, 2016",Florida,"Miami Gardens","1193 Northwest 193rd Street",0,0,N/A
"November 4, 2016",Florida,Orlando,"2500 block of Woodgate Boulevard",0,0,N/A
"November 4, 2016",Florida,Orlando,"Curry Ford Road and Oxalis Avenue",0,1,N/A
"November 4, 2016",Florida,Orlando,"Sula Street and Pepper Mill Boulevard",0,0,N/A
"November 4, 2016",Florida,Sarasota,"707 South Washington Boulevard",0,0,N/A
"November 4, 2016",Florida,Valrico,"1700 East Bloomingdale Avenue",0,0,N/A
"November 4, 2016",Florida,"New Port Richey","6641 Bandura Avenue",1,0,N/A
"November 4, 2016",Tennessee,Nashville,"1497 County Hospital Road",0,1,N/A
"November 4, 2016",Virginia,Norfolk,"600 block of Mariner’s Way",0,1,N/A
"November 4, 2016",Tennessee,"La Vergne","250 Wolverine Trail",0,0,N/A
"November 4, 2016",Michigan,Bitely,"3996 West Cleveland Drive",1,0,N/A
"November 4, 2016",Alabama,"Phenix City","400 block of 20th Street",1,0,N/A
"November 4, 2016",California,Oakland,"2300 block of Eighth Avenue",1,0,N/A
"November 4, 2016",California,Hemet,"200 block of South Palm Avenue",1,1,N/A
"November 4, 2016",Virginia,Lynchburg,"3020 Wards Ferry Rd",0,0,N/A
"November 4, 2016",Illinois,Chicago,"3500 block of West Augusta Boulevard",0,1,N/A
"November 4, 2016",Arizona,Tolleson,"100th Avenue and Williams Street",0,1,N/A
"November 4, 2016",Tennessee,Memphis,"North Watkins Street and Overton Crossing Street",0,1,N/A
"November 4, 2016",Maine,Lewiston,"Sabattus Street and Howe Street",0,0,N/A
"November 4, 2016",Louisiana,"Baton Rouge","Greenwell Springs Road",1,0,N/A
"November 4, 2016",Louisiana,Shreveport,"800 block of Olive Street",0,0,N/A
"November 4, 2016",Illinois,Chicago,"2400 block of North Meade Avenue",0,2,N/A
"November 4, 2016",Massachusetts,Springfield,"Lorraine Street and Woodlawn Street",0,0,N/A
"November 4, 2016",Massachusetts,Springfield,"Dawes Street",0,0,N/A
"November 4, 2016",Missouri,"Lake Saint Louis","Lake St Louis and Quail Meadows Court",1,0,N/A
"November 4, 2016","South Carolina","West Columbia","Sunset Boulevard",0,0,N/A
"November 4, 2016",Mississippi,Jackson,"100 block of Rita Court",1,0,N/A
"November 4, 2016",Maryland,Odenton,"1624 Annapolis Road",0,0,N/A
"November 4, 2016",Oklahoma,Tulsa,"4000 block of North Harvard",0,1,N/A
"November 4, 2016",Oklahoma,Tulsa,"200 Block of South 181st East Avenue",0,0,N/A
"November 4, 2016",Ohio,"Sheffield Lake","4500 block of Edgewater Drive",2,0,N/A
"November 4, 2016","New York",Bronx,"1575 Noble Avenue",2,1,N/A
"November 4, 2016",Kansas,"Kansas City","7569 State Avenue",0,1,N/A
"November 4, 2016",Pennsylvania,Lancaster,"600 block of N. Franklin Street",0,1,N/A
"November 4, 2016","New York",Buffalo,"Broadway and Person Street",0,1,N/A
"November 4, 2016",Nevada,"Las Vegas","400 block of Kolson Circle",0,1,N/A
"November 4, 2016",California,"Elk Grove","8400 block of Modena Way",0,0,N/A
