IncidentDate,State,CityOrCounty,Address,Killed,Injured,Operations
17-Nov-16,Virginia,Norfolk,322 Shirley Ave,0,0,N/A
17-Nov-16,Florida,Cocoa,800 block of North Fiske Boulevard,0,1,N/A
17-Nov-16,Ohio,Columbus,201 Hutchinson Ave,0,0,N/A
17-Nov-16,Florida,Jacksonville,5229 Normandy Boulevard,0,1,N/A
17-Nov-16,Florida,Jacksonville,North Liberty Street and East 18th Street,0,0,N/A
17-Nov-16,Florida,Miami,Northwest 54th Street and Second Avenue,0,3,N/A
17-Nov-16,Indiana,Indianapolis,N/A,0,0,N/A
17-Nov-16,Idaho,Nampa,16802 Nash Lane,0,1,N/A
17-Nov-16,Illinois,Chicago,3900 block of West Grenshaw,0,1,N/A
17-Nov-16,Illinois,Chicago (Roseland),11200 block of South Edbrooke,0,2,N/A
17-Nov-16,Illinois,Chicago,8300 block of South Hamilton,1,0,N/A
17-Nov-16,Louisiana,Shreveport,2160 Hollywood Avenue,1,0,N/A
17-Nov-16,Ohio,Xenia,700 block of North Richard Drive,1,0,N/A
17-Nov-16,Ohio,Columbus,201 Hutchinson Avenue,0,0,N/A
17-Nov-16,Nevada,Las Vegas,2985 South Las Vegas Boulevard,0,1,N/A
17-Nov-16,Mississippi,Jackson,Willie Avenue and Truman Avenue,0,1,N/A
17-Nov-16,Alabama,Montgomery,300 block of Burgwyn Road,1,0,N/A
17-Nov-16,Illinois,Chicago,4200 block of South Racine,1,0,N/A
17-Nov-16,Minnesota,Saint Paul,N/A,0,0,N/A
17-Nov-16,California,Soledad,200 block of Second Street,1,0,N/A
17-Nov-16,Louisiana,New Orleans,Gentilly Boulevard,0,0,N/A
17-Nov-16,Virginia,Hampton,1900 block of Kensington Drive,0,3,N/A
17-Nov-16,Texas,Corpus Christi,Santa Fe and Craig Street,0,1,N/A
17-Nov-16,Iowa,Mason City,1620 North Hampshire Avenue,2,0,N/A
17-Nov-16,Pennsylvania,Philadelphia,5254 Market Street,0,1,N/A
17-Nov-16,Georgia,Atlanta,Luckie Street,0,1,N/A
17-Nov-16,Tennessee,Memphis,Joy Lane,1,0,N/A
17-Nov-16,Wisconsin,Milwaukee,N/A,0,1,N/A
17-Nov-16,Wisconsin,Milwaukee,15th and State,0,0,N/A
16-Nov-16,Missouri,Saint Charles,10 block of Wilbert Drive,0,1,N/A
16-Nov-16,Florida,Cocoa,300 block of Pine Avenue,2,0,N/A
16-Nov-16,Oregon,Portland,2839 NW St Helens Rd,0,0,N/A
16-Nov-16,Minnesota,Minneapolis (Richfield),6244 Cedar Avenue,0,1,N/A
16-Nov-16,Pennsylvania,Homestead,1600 block of West Street,0,1,N/A
16-Nov-16,Indiana,Indianapolis,East 38th Street and Fall Creek Parkway Trail,0,0,N/A
16-Nov-16,Indiana,Indianapolis,1948 Tallman Avenue,0,1,N/A
16-Nov-16,Illinois,Chicago,6600 block of South Washtenaw,1,0,N/A
16-Nov-16,Illinois,Chicago,8000 block of South Stony Island Avenue,0,1,N/A
16-Nov-16,Indiana,Indianapolis,200 block of North Shortridge Avenue,0,1,N/A
16-Nov-16,North Carolina,Winston Salem (Winston-Salem),4364 Old Walkertown Road,0,2,N/A
16-Nov-16,Georgia,Evans,4545 Cox Road,1,0,N/A
16-Nov-16,Kentucky,Louisville,1000 block of S. Hancock Street,0,1,N/A
16-Nov-16,Kentucky,Louisville,1300 block of South 26th Street,0,1,N/A
16-Nov-16,Florida,Loxahatchee,11800 block of Seminole Pratt Whitney Road,0,1,N/A
16-Nov-16,Florida,Delray Beach,4900 block of West Linton Boulevard,0,0,N/A
16-Nov-16,Florida,Delray Beach,100 block of South Longport Circle,0,0,N/A
16-Nov-16,Florida,Jacksonville,1500 West 29th,0,0,N/A
16-Nov-16,Florida,Jacksonville,Rudd Road and Commonwealth Avenue,0,0,N/A
16-Nov-16,Florida,Tampa,404 North Hernandez Court,0,1,N/A
16-Nov-16,Florida,Fort Walton Beach,206 3rd Street SE,0,0,N/A
16-Nov-16,Tennessee,Clarksville,400 block of Martha Lane,0,1,N/A
16-Nov-16,Kentucky,Louisville,5000 block of Stephan Drive,0,1,N/A
16-Nov-16,Virginia,Suffolk,500 block of Lucerne Avenue,1,0,N/A
16-Nov-16,Virginia,Hampton,2121 Kecoughtan Rd,1,0,N/A
16-Nov-16,New Hampshire,Nashua,Lake St and Ash St,0,2,N/A
16-Nov-16,Illinois,Chicago,300 block of West 119th Street,0,1,N/A
16-Nov-16,Illinois,Chicago,2100 block of South California,0,1,N/A
16-Nov-16,Florida,Pensacola,1400 North Olive Road,0,0,N/A
16-Nov-16,Illinois,Chicago,1600 block of South Drake,0,2,N/A
16-Nov-16,Florida,Hollywood,2127 Roosevelt Street,0,1,N/A
16-Nov-16,Illinois,Glen Ellyn,677 Roosevelt Rd.,0,0,N/A
16-Nov-16,Florida,Jacksonville,2000 block of Wright Avenue,1,0,N/A
16-Nov-16,Georgia,Riverdale,6810 Worthington Drive,1,1,N/A
16-Nov-16,Georgia,Mcdonough,George W. Lemon Drive,0,1,N/A
16-Nov-16,Illinois,Chicago,2600 block of West Luther,1,0,N/A
16-Nov-16,Michigan,Battle Creek,100 block of East Kingman Avenue,0,0,N/A
16-Nov-16,Louisiana,Bastrop,320 Ogden Avenue,0,2,N/A
16-Nov-16,Kansas,Kansas City,200 block of North 15th Street,1,0,N/A
16-Nov-16,Louisiana,Grant,N/A,0,0,N/A
16-Nov-16,North Dakota,Bismarck,1700 block of North Fourth Street,0,0,N/A
16-Nov-16,Michigan,Grand Rapids,College Avenue and Griggs Street,0,1,N/A
16-Nov-16,New Jersey,Burlington,100 block of East Broad Street,0,1,N/A
16-Nov-16,Washington,Cowlitz (county),N/A,0,0,N/A
16-Nov-16,Alabama,Birmingham,4th Avenue North and Center Street,0,0,N/A
16-Nov-16,Alabama,Birmingham,3rd Avenue West,0,1,N/A
16-Nov-16,Arkansas,Jonesboro,Paragould Drive and Prospect Road,0,0,N/A
16-Nov-16,Illinois,Urbana,202 East University Avenue,2,0,N/A
16-Nov-16,Louisiana,New Orleans,5600 block of Pauline Drive,0,1,N/A
16-Nov-16,Louisiana,New Orleans,Bourbon Street and St. Peters Street,0,0,N/A
16-Nov-16,Alabama,Centreville,8 Court Square W,1,0,N/A
16-Nov-16,Illinois,Chicago,5200 block of West Quincy,1,0,N/A
16-Nov-16,Louisiana,Shreveport,100 block of Southfield Road,0,0,N/A
16-Nov-16,Louisiana,Shreveport,300 block of West 75th Street,0,1,N/A
16-Nov-16,Delaware,Seaford,Church and Concord Pond,0,0,N/A
16-Nov-16,Louisiana,New Orleans,1355 Tiger Drive,0,0,N/A
16-Nov-16,Massachusetts,Brockton,29 Merton St,0,0,N/A
16-Nov-16,North Carolina,Raleigh,3301 South Wilmington Street,0,1,N/A
16-Nov-16,Kansas,Wichita,2700 block of N. Piatt,0,0,N/A
16-Nov-16,California,Bakersfield,Niles and Fairfax,0,0,N/A
16-Nov-16,North Carolina,Kannapolis,200 block of Cedar Brook Drive,0,0,N/A
16-Nov-16,California,Oakland,88th Avenue and E Street,0,1,N/A
16-Nov-16,Georgia,Smyrna,3995 South Cobb Drive,0,1,N/A
16-Nov-16,California,Whittier,13400 block of Penn Street,1,0,N/A
16-Nov-16,District of Columbia,Washington,5000 blk of Call Place SE,0,0,N/A
16-Nov-16,Texas,Longview,2500 block of North Eastman Road,2,0,N/A
16-Nov-16,Louisiana,Baton Rouge,3200 block of Duke Street,0,1,N/A
16-Nov-16,Alabama,Montgomery,Cresta Circle,0,0,N/A
16-Nov-16,Texas,San Antonio,214 West Dickson Avenue,0,1,N/A
16-Nov-16,Florida,Fort Myers,Sixth Avenue,0,1,N/A
16-Nov-16,California,Baldwin Park,Baldwin Park Boulevard and Ramona Avenue,0,0,N/A
16-Nov-16,California,Duarte,Flagstone Avenue and Maydee Street,0,1,N/A
16-Nov-16,Arizona,Buckeye,West Watkins Street and 231st Avenue,0,1,N/A
16-Nov-16,Illinois,Chicago,1900 block of South Christiana,0,1,N/A
16-Nov-16,North Carolina,Lenoir (county),Highway 258,0,0,N/A
16-Nov-16,Louisiana,New Orleans,6800 block of Parc Brittany Boulevard,0,1,N/A
16-Nov-16,Massachusetts,New Bedford,100 Block of Sycamore St,0,0,N/A
16-Nov-16,Massachusetts,Springfield,George St and Maple St,0,1,N/A
16-Nov-16,Alabama,Macon (county),N/A,0,0,N/A
16-Nov-16,Alabama,Montgomery,4100 block of Fitzpatrick Blvd.,1,0,N/A
16-Nov-16,Texas,Houston,Edgebrook,0,0,N/A
16-Nov-16,Mississippi,Marion (county),N/A,0,1,N/A
16-Nov-16,Texas,El Paso,O'Dell Road,0,1,N/A
16-Nov-16,Georgia,Savannah,White Bluff Road and Magnolia Avenue,1,0,N/A
16-Nov-16,Louisiana,New Orleans,300 block of Deslonde Street,1,0,N/A
16-Nov-16,Wisconsin,Milwaukee,27th and Burleigh,0,1,N/A
16-Nov-16,Wisconsin,Milwaukee,4400 Block of N 68th St,1,1,N/A
16-Nov-16,Delaware,Wilmington,Linden and S. Van Buren,0,1,N/A
16-Nov-16,Texas,Tomball,24200 block of FM 2978,0,1,N/A
16-Nov-16,Texas,San Antonio,1500 block of Hays Street,1,0,N/A
16-Nov-16,Tennessee,Memphis,Knight Arnold Road and Ridgeway Road,0,2,N/A
16-Nov-16,California,Redding,2779 Reservoir Lane,1,0,N/A
16-Nov-16,California,Berkeley,1260 Allston Way,0,2,N/A
16-Nov-16,California,San Francisco,Hancock Street,0,1,N/A
16-Nov-16,New York,Buffalo,East Delavan Avenue,0,0,N/A
16-Nov-16,Texas,Dallas,4500 Block of Spring Garden Ave,0,1,N/A
16-Nov-16,Ohio,Elyria,Woodland Avenue,0,0,N/A
16-Nov-16,North Carolina,Charlotte,1000 block of State St,0,1,N/A
16-Nov-16,New York,Syracuse,1700 block of East Fayette Street,0,1,N/A
